Title,Genre
Quigley Down Under,western
Young Guns II,western
Heaven's Gate,western
The Outlaw Josey Wales,western
Blazing Saddles,western
High Plains Drifter,western
They Call Me Trinity,western
Once Upon a Time in the West,western
True Grit,western
Shalako,western
"The Good, the Bad and the Ugly",western
A Fistful of Dollars,western
Hud,western
The Misfits,western
The Magnificent Seven,western
Rio Bravo,western
Giant,western
